"","x.before","x.after"
"1",2.93220338983051,3.20952380952381
"2",1.08474576271186,1.24285714285714
"3",0.694915254237288,0.561904761904762
"4",1.22033898305085,1.14285714285714
"5",0,0
"6",0.593220338983051,0.69047619047619
"7",0.677966101694915,0.871428571428571
"8",0.677966101694915,0.571428571428571
"9",1.30508474576271,1.52857142857143
"10",1.08474576271186,0.761904761904762
"11",1.01694915254237,0.580952380952381
"12",1.88135593220339,1.58571428571429
"13",0,0
"14",0.542372881355932,0.380952380952381
"15",0.593220338983051,0.504761904761905
"16",0,0
"17",0.576271186440678,0.471428571428571
"18",0.271186440677966,0.59047619047619
"19",1.57627118644068,0.871428571428571
"20",1.01694915254237,0.780952380952381
"21",0.322033898305085,0.419047619047619
"22",0.372881355932203,0.366666666666667
"23",0.457627118644068,0.280952380952381
"24",1.33898305084746,0.642857142857143
"25",0,0
"26",0.322033898305085,0.357142857142857
"27",0.271186440677966,0.138095238095238
"28",0.271186440677966,0.323809523809524
"29",0.338983050847458,0.319047619047619
"30",0,0
"31",0.288135593220339,0.19047619047619
"32",0.186440677966102,0.319047619047619
"33",0.949152542372881,0.70952380952381
"34",0.372881355932203,0.2
"35",0.440677966101695,0.2
"36",0.152542372881356,0.142857142857143
"37",0.661016949152542,0.247619047619048
"38",0.474576271186441,0.347619047619048
"39",0.576271186440678,0.323809523809524
"40",0.152542372881356,0.366666666666667
"41",0.440677966101695,0.4
"42",0.525423728813559,0.257142857142857
"43",0.169491525423729,0
"44",0,0.119047619047619
"45",0.389830508474576,0.166666666666667
"46",0.271186440677966,0.361904761904762
"47",0.169491525423729,0.161904761904762
"48",0,0
"49",0.389830508474576,0.123809523809524
"50",0.457627118644068,0.314285714285714
"51",0.372881355932203,0.228571428571429
"52",0.23728813559322,0.176190476190476
"53",0,0.638095238095238
"54",0.288135593220339,0.128571428571429
"55",0,0.195238095238095
"56",0,0.147619047619048
"57",0.152542372881356,0
"58",0.220338983050847,0.280952380952381
"59",0.169491525423729,0.3
"60",0,0
"61",0.220338983050847,0.157142857142857
"62",0.440677966101695,0.266666666666667
"63",0.254237288135593,0.233333333333333
"64",0.203389830508475,0.10952380952381
"65",0.152542372881356,0
"66",0.372881355932203,0.419047619047619
"67",0.220338983050847,0.19047619047619
"68",0,0
"69",0,0
"70",0.491525423728814,0.19047619047619
"71",0.423728813559322,0.114285714285714
"72",0.288135593220339,0.180952380952381
"73",0.220338983050847,0.157142857142857
"74",0.203389830508475,0.233333333333333
"75",0.271186440677966,0
"76",0.169491525423729,0.133333333333333
"77",0.254237288135593,0.147619047619048
"78",0.23728813559322,0
"79",0,0
"80",0,0.104761904761905
"81",0.152542372881356,0.180952380952381
"82",0.186440677966102,0.0952380952380952
"83",0,0
"84",0,0
"85",0,0.152380952380952
"86",0,0
"87",0.474576271186441,0.176190476190476
"88",0.305084745762712,0.371428571428571
"89",0,0.138095238095238
"90",0,0.152380952380952
"91",0.203389830508475,0.219047619047619
"92",0.305084745762712,0.138095238095238
"93",0,0.0952380952380952
"94",0.135593220338983,0.171428571428571
"95",0,0
"96",0.271186440677966,0.371428571428571
"97",0,0.123809523809524
"98",0.186440677966102,0.276190476190476
"99",0.23728813559322,0
"100",0,0
"101",0.406779661016949,0.161904761904762
"102",0.186440677966102,0.5
"103",0,0
"104",0.135593220338983,0.1
"105",0.271186440677966,0.180952380952381
"106",0,0.114285714285714
"107",0.338983050847458,0.180952380952381
"108",0.288135593220339,0.119047619047619
"109",0,0.10952380952381
"110",0,0
"111",0,0
"112",0.76271186440678,0.485714285714286
"113",0,0.2
"114",0.322033898305085,0.257142857142857
"115",0.23728813559322,0
"116",0.135593220338983,0.176190476190476
"117",0,0.171428571428571
"118",0,0
"119",0,0.147619047619048
"120",0,0
"121",0.355932203389831,0
"122",0,0.114285714285714
"123",0.186440677966102,0
"124",0,0.247619047619048
"125",0,0.1
"126",0.203389830508475,0.195238095238095
"127",0,0.161904761904762
"128",0,0
"129",0.593220338983051,0.404761904761905
"130",0.186440677966102,0
"131",0.203389830508475,0
"132",0,0
"133",0,0
"134",0.203389830508475,0.138095238095238
"135",0,0
"136",0,0
"137",0.135593220338983,0.180952380952381
"138",0.135593220338983,0.119047619047619
"139",0.220338983050847,0.3
"140",0.11864406779661,0
"141",0,0
"142",0,0
"143",0.254237288135593,0.380952380952381
"144",0.288135593220339,0.142857142857143
"145",0.11864406779661,0.119047619047619
"146",0,0
"147",0,0
"148",0,0
"149",0.11864406779661,0.223809523809524
"150",0,0
"151",0.135593220338983,0.20952380952381
"152",0,0
"153",0,0
"154",0,0
"155",0,0.0904761904761905
"156",0,0
"157",0.288135593220339,0
"158",0.220338983050847,0.119047619047619
"159",0,0
"160",0,0
"161",0,0
"162",0.220338983050847,0.219047619047619
"163",0,0
"164",0.271186440677966,0
"165",0.23728813559322,0
"166",0,0
"167",0,0.123809523809524
"168",0,0
"169",0,0.0952380952380952
"170",0.406779661016949,0.347619047619048
"171",0.322033898305085,0.152380952380952
"172",0,0
"173",0.152542372881356,0.1
"174",0,0
"175",0,0
"176",0,0
"177",0.169491525423729,0
"178",0,0.180952380952381
"179",0,0
"180",0,0
"181",0,0.10952380952381
"182",0,0
"183",0.254237288135593,0.147619047619048
"184",0,0
"185",0,0.104761904761905
"186",0,0
"187",0,0
"188",0.694915254237288,0.19047619047619
"189",0,0
"190",0.220338983050847,0
"191",0,0
"192",0,0
"193",0,0
"194",0,0
"195",0,0
"196",0,0
"197",0,0.252380952380952
"198",0,0
"199",0,0
"200",0.152542372881356,0
"201",0,0
"202",0,0
"203",0,0
"204",1.40677966101695,0.347619047619048
"205",0.220338983050847,0
"206",0,0
"207",0,0
"208",0,0.252380952380952
"209",0,0
"210",0.11864406779661,0.0904761904761905
"211",0.152542372881356,0
"212",0,0
"213",0,0
"214",0,0
"215",0.203389830508475,0
"216",0.11864406779661,0
"217",0,0
"218",0,0.133333333333333
"219",0.135593220338983,0.166666666666667
"220",0.254237288135593,0.152380952380952
"221",0.152542372881356,0
"222",0,0
"223",0,0.119047619047619
"224",0,0
"225",0,0
"226",0,0
"227",0.220338983050847,0
"228",0,0
"229",0,0
"230",0,0
"231",0,0
"232",0,0
"233",0,0
"234",0.169491525423729,0.147619047619048
"235",0,0
"236",0.152542372881356,0
"237",0.203389830508475,0
"238",0,0
"239",0,0
"240",0,0
"241",0,0
"242",0,0
"243",0,0
"244",0,0
"245",0,0
"246",0.169491525423729,0
"247",0,0
