"","Company","Frequency","Percentage"
"1","zipcar",598,47.9166666666667
"2","bixi",172,13.7820512820513
"3","relayrides",109,8.73397435897436
"4","getaround",97,7.7724358974359
"5","via",76,6.08974358974359
"6","airbnb",69,5.52884615384615
"7","taskrabbit",31,2.48397435897436
"8","circle",15,1.20192307692308
"9","gone",13,1.04166666666667
"10","twice",13,1.04166666666667
"11","craigslist",6,0.480769230769231
"12","zopa",6,0.480769230769231
"13","leap",5,0.400641025641026
"14","whipcar",5,0.400641025641026
"15","blender",4,0.320512820512821
"16","cherry",4,0.320512820512821
"17","favor",4,0.320512820512821
"18","button",3,0.240384615384615
"19","etsy",3,0.240384615384615
"20","couchsurfing",2,0.16025641025641
"21","homeaway",2,0.16025641025641
"22","kiva",2,0.16025641025641
"23","prosper",2,0.16025641025641
"24","thredup",2,0.16025641025641
"25","appearhere",1,0.0801282051282051
"26","gazelle",1,0.0801282051282051
"27","kickstarter",1,0.0801282051282051
"28","maven",1,0.0801282051282051
"29","skillshare",1,0.0801282051282051
