"","Company","Frequency","Percentage"
"1","zipcar",579,85.0220264317181
"2","via",37,5.43318649045521
"3","bixi",23,3.37738619676946
"4","gone",9,1.3215859030837
"5","twice",9,1.3215859030837
"6","circle",7,1.02790014684288
"7","leap",5,0.734214390602056
"8","upstart",4,0.587371512481645
"9","prosper",2,0.293685756240822
"10","button",1,0.146842878120411
"11","cherry",1,0.146842878120411
"12","couchsurfing",1,0.146842878120411
"13","getaround",1,0.146842878120411
"14","tilt",1,0.146842878120411
"15","wework",1,0.146842878120411
