"","Influencer","Frequency","Percentage"
"1","rachelbotsman",37,29.8387096774194
"2","roorogers",20,16.1290322580645
"3","adamthierer",15,12.0967741935484
"4","arunsundararajan",13,10.4838709677419
"5","janelleorsi",11,8.87096774193548
"6","ronlieber",5,4.03225806451613
"7","julietschor",4,3.2258064516129
"8","laurenanderson",3,2.41935483870968
"9","markscott",3,2.41935483870968
"10","airilampinen",2,1.61290322580645
"11","miltonfriedman",2,1.61290322580645
"12","aligheitasy",1,0.806451612903226
"13","derekthompson",1,0.806451612903226
"14","francoiacomella",1,0.806451612903226
"15","friedrichchasin",1,0.806451612903226
"16","haraldheinrichs",1,0.806451612903226
"17","jeremiahowyang",1,0.806451612903226
"18","michelbauwens",1,0.806451612903226
"19","mikeisaac",1,0.806451612903226
"20","sophiecurtis",1,0.806451612903226
