"","Company","Frequency","Percentage"
"1","zipcar",408,33.278955954323
"2","airbnb",197,16.068515497553
"3","relayrides",132,10.7667210440457
"4","via",84,6.85154975530179
"5","bixi",64,5.22022838499184
"6","getaround",53,4.32300163132137
"7","taskrabbit",38,3.09951060358891
"8","twice",36,2.93637846655791
"9","uber",22,1.79445350734095
"10","lyft",19,1.54975530179445
"11","sidecar",19,1.54975530179445
"12","craigslist",18,1.46818923327896
"13","gobble",17,1.38662316476346
"14","button",13,1.06035889070147
"15","gone",12,0.978792822185971
"16","blablacar",10,0.815660685154976
"17","dogvacay",9,0.734094616639478
"18","vayable",7,0.570962479608483
"19","loosecubes",6,0.489396411092985
"20","poshmark",6,0.489396411092985
"21","threadflip",6,0.489396411092985
"22","trustcloud",6,0.489396411092985
"23","circle",5,0.407830342577488
"24","favor",5,0.407830342577488
"25","ridejoy",4,0.32626427406199
"26","liquidspace",3,0.244698205546493
"27","storefront",3,0.244698205546493
"28","thredup",3,0.244698205546493
"29","airtime",2,0.163132137030995
"30","couchsurfing",2,0.163132137030995
"31","etsy",2,0.163132137030995
"32","homeaway",2,0.163132137030995
"33","kickstarter",2,0.163132137030995
"34","leap",2,0.163132137030995
"35","prosper",2,0.163132137030995
"36","cherry",1,0.0815660685154976
"37","getable",1,0.0815660685154976
"38","onefinestay",1,0.0815660685154976
"39","quirky",1,0.0815660685154976
"40","rover",1,0.0815660685154976
"41","skillshare",1,0.0815660685154976
"42","zaarly",1,0.0815660685154976
