"","Company","Frequency","Percentage"
"1","via",221,21.3320463320463
"2","zipcar",159,15.3474903474903
"3","airbnb",78,7.52895752895753
"4","zopa",53,5.11583011583012
"5","uber",41,3.95752895752896
"6","maven",37,3.57142857142857
"7","craigslist",34,3.28185328185328
"8","gone",32,3.08880308880309
"9","relayrides",32,3.08880308880309
"10","lyft",26,2.50965250965251
"11","button",24,2.31660231660232
"12","chegg",24,2.31660231660232
"13","circle",24,2.31660231660232
"14","couchsurfing",23,2.22007722007722
"15","taskrabbit",23,2.22007722007722
"16","etsy",21,2.02702702702703
"17","favor",18,1.73745173745174
"18","prosper",17,1.64092664092664
"19","thredup",17,1.64092664092664
"20","twice",17,1.64092664092664
"21","kickstarter",14,1.35135135135135
"22","leap",12,1.15830115830116
"23","rover",9,0.868725868725869
"24","whipcar",8,0.772200772200772
"25","bixi",7,0.675675675675676
"26","instacart",5,0.482625482625483
"27","kiva",5,0.482625482625483
"28","lendingclub",4,0.386100386100386
"29","blablacar",3,0.28957528957529
"30","homeaway",3,0.28957528957529
"31","postmates",3,0.28957528957529
"32","roomorama",3,0.28957528957529
"33","sidecar",3,0.28957528957529
"34","airtime",2,0.193050193050193
"35","blender",2,0.193050193050193
"36","flywheel",2,0.193050193050193
"37","getaround",2,0.193050193050193
"38","grabtaxi",2,0.193050193050193
"39","mosaic",2,0.193050193050193
"40","ola",2,0.193050193050193
"41","udemy",2,0.193050193050193
"42","upstart",2,0.193050193050193
"43","wallapop",2,0.193050193050193
"44","wework",2,0.193050193050193
"45","alfred",1,0.0965250965250965
"46","artsy",1,0.0965250965250965
"47","breather",1,0.0965250965250965
"48","cherry",1,0.0965250965250965
"49","coursera",1,0.0965250965250965
"50","crowdcube",1,0.0965250965250965
"51","drivy",1,0.0965250965250965
"52","getable",1,0.0965250965250965
"53","hailo",1,0.0965250965250965
"54","liquidspace",1,0.0965250965250965
"55","onefinestay",1,0.0965250965250965
"56","skillshare",1,0.0965250965250965
"57","thumbtack",1,0.0965250965250965
"58","transferwise",1,0.0965250965250965
