"","Word","Frequency","Percentage"
"1","will",1430,0.884217035090431
"2","car",1237,0.764878652032772
"3","said",970,0.59978358324316
"4","c2a0",843,0.521255217189674
"5","new",797,0.492811872004947
"6","city",754,0.466223527593137
"7","can",686,0.424176843407018
"8","bike",633,0.391405163085485
"9","sharing",560,0.346266810944505
"10","program",520,0.321533467305611
"11","people",519,0.320915133714639
"12","also",516,0.319060132941722
"13","share",497,0.307311794713248
"14","cars",484,0.299273458030608
"15","one",454,0.280723450301438
"16","zipcar",454,0.280723450301438
"17","use",449,0.277631782346576
"18","vehicles",439,0.271448446436853
"19","company",429,0.265265110527129
"20","university",379,0.234348430978513
"21","year",376,0.232493430205596
"22","transportation",363,0.224455093522956
"23","public",342,0.211470088112537
"24","business",331,0.204668418611841
"25","service",328,0.202813417838924
"26","members",303,0.187355078064616
"27","says",302,0.186736744473644
"28","system",300,0.185500077291699
"29","first",298,0.184263410109754
"30","bikes",275,0.170041737517391
"31","energy",268,0.165713402380584
"32","make",267,0.165095068789612
"33","parking",267,0.165095068789612
"34","two",266,0.16447673519864
"35","electric",262,0.16200340083475
"36","time",262,0.16200340083475
"37","million",261,0.161385067243778
"38","per",260,0.160766733652806
"39","carsharing",258,0.159530066470861
"40","now",257,0.158911732879889
"41","technology",256,0.158293399288916
"42","information",255,0.157675065697944
"43","market",245,0.151491729788221
"44","vehicle",243,0.150255062606276
"45","available",242,0.149636729015304
"46","day",237,0.146545061060442
"47","services",237,0.146545061060442
"48","get",236,0.14592672746947
"49","students",229,0.141598392332663
"50","green",226,0.139743391559746
"51","years",226,0.139743391559746
"52","cities",224,0.138506724377802
"53","way",222,0.137270057195857
"54","companies",221,0.136651723604885
"55","including",219,0.13541505642294
"56","local",216,0.133560055650023
"57","help",213,0.131705054877106
"58","need",211,0.130468387695162
"59","like",209,0.129231720513217
"60","work",209,0.129231720513217
"61","community",205,0.126758386149328
"62","around",201,0.124285051785438
"63","many",195,0.120575050239604
"64","well",194,0.119956716648632
"65","part",193,0.11933838305766
"66","scheme",192,0.118720049466687
"67","just",189,0.11686504869377
"68","hertz",186,0.115010047920853
"69","see",185,0.114391714329881
"70","rental",181,0.111918379965992
"71","campus",180,0.111300046375019
"72","reduce",180,0.111300046375019
"73","york",180,0.111300046375019
"74","users",179,0.110681712784047
"75","project",178,0.110063379193075
"76","access",177,0.109445045602102
"77","last",177,0.109445045602102
"78","news",176,0.10882671201113
"79","next",174,0.107590044829185
"80","today",174,0.107590044829185
"81","costs",172,0.106353377647241
"82","global",167,0.103261709692379
"83","programs",167,0.103261709692379
"84","cost",165,0.102025042510434
"85","council",162,0.100170041737517
"86","number",162,0.100170041737517
"87","take",161,0.0995517081465451
"88","may",160,0.0989333745555727
"89","residents",159,0.0983150409646004
"90","online",155,0.0958417066007111
"91","percent",154,0.0952233730097388
"92","street",154,0.0952233730097388
"93","growth",153,0.0946050394187664
"94","provide",153,0.0946050394187664
"95","transport",153,0.0946050394187664
"96","stations",152,0.0939867058277941
"97","development",151,0.0933683722368218
"98","free",150,0.0927500386458494
"99","set",150,0.0927500386458494
"100","area",149,0.0921317050548771
"101","director",149,0.0921317050548771
"102","president",149,0.0921317050548771
"103","even",148,0.0915133714639048
"104","travel",148,0.0915133714639048
"105","group",147,0.0908950378729324
"106","hour",147,0.0908950378729324
"107","money",147,0.0908950378729324
"108","across",146,0.0902767042819601
"109","government",145,0.0896583706909878
"110","made",145,0.0896583706909878
"111","consumers",144,0.0890400371000155
"112","economic",144,0.0890400371000155
"113","inc",144,0.0890400371000155
"114","three",143,0.0884217035090431
"115","used",141,0.0871850363270985
"116","transit",140,0.0865667027361261
"117","social",139,0.0859483691451538
"118","state",138,0.0853300355541815
"119","much",137,0.0847117019632092
"120","using",136,0.0840933683722368
"121","following",135,0.0834750347812645
"122","want",135,0.0834750347812645
"123","minneapolis",131,0.0810017004173752
"124","fleet",129,0.0797650332354305
"125","meeting",129,0.0797650332354305
"126","ride",129,0.0797650332354305
"127","management",128,0.0791466996444582
"128","urban",127,0.0785283660534859
"129","mayor",126,0.0779100324625135
"130","since",125,0.0772916988715412
"131","staff",125,0.0772916988715412
"132","2010",124,0.0766733652805689
"133","alternative",124,0.0766733652805689
"134","great",124,0.0766733652805689
"135","sustainable",124,0.0766733652805689
"136","traffic",124,0.0766733652805689
"137","pay",123,0.0760550316895965
"138","businesses",122,0.0754366980986242
"139","largest",122,0.0754366980986242
"140","college",121,0.0748183645076519
"141","partnership",121,0.0748183645076519
"142","power",121,0.0748183645076519
"143","research",120,0.0742000309166796
"144","dont",119,0.0735816973257072
"145","every",119,0.0735816973257072
"146","already",118,0.0729633637347349
"147","areas",118,0.0729633637347349
"148","week",118,0.0729633637347349
"149","world",118,0.0729633637347349
"150","locations",117,0.0723450301437626
"151","able",116,0.0717266965527902
"152","customers",116,0.0717266965527902
"153","environmental",116,0.0717266965527902
"154","less",116,0.0717266965527902
"155","plan",116,0.0717266965527902
"156","major",115,0.0711083629618179
"157","place",115,0.0711083629618179
"158","think",115,0.0711083629618179
"159","shared",114,0.0704900293708456
"160","2009",113,0.0698716957798732
"161","executive",112,0.0692533621889009
"162","high",112,0.0692533621889009
"163","making",112,0.0692533621889009
"164","road",112,0.0692533621889009
"165","station",112,0.0692533621889009
"166","based",110,0.0680166950069563
"167","connect",110,0.0680166950069563
"168","innovative",110,0.0680166950069563
