"","Company","Frequency","Percentage"
"1","via",62,17.1270718232044
"2","airbnb",42,11.6022099447514
"3","uber",36,9.94475138121547
"4","button",22,6.07734806629834
"5","circle",22,6.07734806629834
"6","makerbot",20,5.52486187845304
"7","gone",19,5.24861878453039
"8","kickstarter",13,3.59116022099448
"9","leap",12,3.31491712707182
"10","indiegogo",11,3.03867403314917
"11","quirky",10,2.76243093922652
"12","deliv",9,2.48618784530387
"13","gazelle",9,2.48618784530387
"14","shapeways",9,2.48618784530387
"15","twice",8,2.20994475138122
"16","taskrabbit",7,1.93370165745856
"17","mosaic",6,1.65745856353591
"18","favor",5,1.38121546961326
"19","couchsurfing",3,0.828729281767956
"20","etsy",3,0.828729281767956
"21","inspirato",3,0.828729281767956
"22","prosper",3,0.828729281767956
"23","skillshare",3,0.828729281767956
"24","getable",2,0.552486187845304
"25","kiva",2,0.552486187845304
"26","rover",2,0.552486187845304
"27","zopa",2,0.552486187845304
"28","alfred",1,0.276243093922652
"29","angellist",1,0.276243093922652
"30","blender",1,0.276243093922652
"31","cherry",1,0.276243093922652
"32","circleup",1,0.276243093922652
"33","codecademy",1,0.276243093922652
"34","coursera",1,0.276243093922652
"35","crowdcube",1,0.276243093922652
"36","custommade",1,0.276243093922652
"37","eatwith",1,0.276243093922652
"38","fiverr",1,0.276243093922652
"39","kaggle",1,0.276243093922652
"40","lyft",1,0.276243093922652
"41","storefront",1,0.276243093922652
"42","trustcloud",1,0.276243093922652
"43","udacity",1,0.276243093922652
"44","udemy",1,0.276243093922652
