"","Influencer","Frequency","Percentage"
"1","rachelbotsman",5,31.25
"2","danahull",3,18.75
"3","arunsundararajan",2,12.5
"4","janelleorsi",2,12.5
"5","roorogers",2,12.5
"6","jasonankeny",1,6.25
"7","ronlieber",1,6.25
