"","Company","Frequency","Percentage"
"1","via",162,25.2336448598131
"2","uber",76,11.8380062305296
"3","airbnb",46,7.16510903426791
"4","maven",44,6.85358255451713
"5","zipcar",32,4.98442367601246
"6","circle",30,4.67289719626168
"7","gone",28,4.3613707165109
"8","button",26,4.04984423676012
"9","thumbtack",25,3.89408099688474
"10","twice",22,3.42679127725857
"11","peerby",12,1.86915887850467
"12","lyft",11,1.71339563862928
"13","favor",10,1.55763239875389
"14","etsy",9,1.4018691588785
"15","getaround",9,1.4018691588785
"16","redbeacon",9,1.4018691588785
"17","sprig",8,1.24610591900312
"18","leap",6,0.934579439252336
"19","ola",5,0.778816199376947
"20","prosper",5,0.778816199376947
"21","upstart",5,0.778816199376947
"22","craigslist",4,0.623052959501558
"23","kickstarter",4,0.623052959501558
"24","kiva",4,0.623052959501558
"25","airtasker",3,0.467289719626168
"26","alfred",3,0.467289719626168
"27","bannerman",3,0.467289719626168
"28","instacart",3,0.467289719626168
"29","taskrabbit",3,0.467289719626168
"30","zopa",3,0.467289719626168
"31","blender",2,0.311526479750779
"32","chegg",2,0.311526479750779
"33","homejoy",2,0.311526479750779
"34","relayrides",2,0.311526479750779
"35","wallapop",2,0.311526479750779
"36","wework",2,0.311526479750779
"37","artsy",1,0.155763239875389
"38","breather",1,0.155763239875389
"39","couchsurfing",1,0.155763239875389
"40","coursera",1,0.155763239875389
"41","crowdfunder",1,0.155763239875389
"42","crowdrise",1,0.155763239875389
"43","drivy",1,0.155763239875389
"44","grabtaxi",1,0.155763239875389
"45","hailo",1,0.155763239875389
"46","indiegogo",1,0.155763239875389
"47","loup",1,0.155763239875389
"48","mosaic",1,0.155763239875389
"49","munchery",1,0.155763239875389
"50","postmates",1,0.155763239875389
"51","shapeways",1,0.155763239875389
"52","shyp",1,0.155763239875389
"53","spoonrocket",1,0.155763239875389
"54","storefront",1,0.155763239875389
"55","tilt",1,0.155763239875389
"56","whipcar",1,0.155763239875389
