"","Company","Frequency","Percentage"
"1","uber",1438,37.004632012352
"2","airbnb",745,19.1713844570252
"3","lyft",267,6.87081832218219
"4","via",192,4.9408131755018
"5","taskrabbit",104,2.67627380339681
"6","zipcar",93,2.39320638188368
"7","couchsurfing",75,1.93000514668039
"8","instacart",69,1.77560473494596
"9","etsy",58,1.49253731343284
"10","button",49,1.26093669583119
"11","blablacar",42,1.08080288214102
"12","craigslist",41,1.05506948018528
"13","postmates",38,0.977869274318065
"14","homejoy",37,0.952135872362326
"15","gone",35,0.900669068450849
"16","kickstarter",29,0.746268656716418
"17","relayrides",28,0.720535254760679
"18","maven",23,0.591868244981987
"19","favor",22,0.566134843026248
"20","cohealo",21,0.540401441070509
"21","twice",21,0.540401441070509
"22","munchery",15,0.386001029336078
"23","shyp",15,0.386001029336078
"24","alfred",14,0.36026762738034
"25","drivy",14,0.36026762738034
"26","prosper",13,0.334534225424601
"27","sidecar",13,0.334534225424601
"28","circle",12,0.308800823468863
"29","thumbtack",12,0.308800823468863
"30","yeloha",12,0.308800823468863
"31","zeel",11,0.283067421513124
"32","wegolook",10,0.257334019557385
"33","getaround",9,0.231600617601647
"34","homeaway",9,0.231600617601647
"35","cherry",8,0.205867215645908
"36","indiegogo",8,0.205867215645908
"37","lendingclub",8,0.205867215645908
"38","rover",8,0.205867215645908
"39","spoonrocket",8,0.205867215645908
"40","sprig",8,0.205867215645908
"41","washio",8,0.205867215645908
"42","wework",8,0.205867215645908
"43","artsy",7,0.18013381369017
"44","breather",7,0.18013381369017
"45","dogvacay",7,0.18013381369017
"46","poshmark",7,0.18013381369017
"47","zirtual",7,0.18013381369017
"48","zopa",7,0.18013381369017
"49","fiverr",6,0.154400411734431
"50","leap",6,0.154400411734431
"51","liquidspace",6,0.154400411734431
"52","ola",6,0.154400411734431
"53","skillshare",6,0.154400411734431
"54","zaarly",6,0.154400411734431
"55","grabtaxi",5,0.128667009778693
"56","hourlynerd",5,0.128667009778693
"57","justpark",5,0.128667009778693
"58","quirky",5,0.128667009778693
"59","traity",5,0.128667009778693
"60","transferwise",5,0.128667009778693
"61","upstart",5,0.128667009778693
"62","wonolo",5,0.128667009778693
"63","airtasker",4,0.102933607822954
"64","fundingcircle",4,0.102933607822954
"65","getable",4,0.102933607822954
"66","gigwalk",4,0.102933607822954
"67","thredup",4,0.102933607822954
"68","angellist",3,0.0772002058672156
"69","bellhops",3,0.0772002058672156
"70","chegg",3,0.0772002058672156
"71","deliv",3,0.0772002058672156
"72","eatwith",3,0.0772002058672156
"73","kitchit",3,0.0772002058672156
"74","storefront",3,0.0772002058672156
"75","threadflip",3,0.0772002058672156
"76","tongal",3,0.0772002058672156
"77","vayable",3,0.0772002058672156
"78","boatbound",2,0.0514668039114771
"79","cargomatic",2,0.0514668039114771
"80","circleup",2,0.0514668039114771
"81","crowdflower",2,0.0514668039114771
"82","flightcar",2,0.0514668039114771
"83","hailo",2,0.0514668039114771
"84","jayride",2,0.0514668039114771
"85","kaggle",2,0.0514668039114771
"86","loosecubes",2,0.0514668039114771
"87","medicast",2,0.0514668039114771
"88","peerby",2,0.0514668039114771
"89","quickflix",2,0.0514668039114771
"90","udemy",2,0.0514668039114771
"91","artsicle",1,0.0257334019557386
"92","bixi",1,0.0257334019557386
"93","blackjet",1,0.0257334019557386
"94","bookrenter",1,0.0257334019557386
"95","campusbookrentals",1,0.0257334019557386
"96","checkr",1,0.0257334019557386
"97","classpass",1,0.0257334019557386
"98","coursera",1,0.0257334019557386
"99","crowdcube",1,0.0257334019557386
"100","custommade",1,0.0257334019557386
"101","deskwanted",1,0.0257334019557386
"102","feastly",1,0.0257334019557386
"103","firechat",1,0.0257334019557386
"104","fitmob",1,0.0257334019557386
"105","flytenow",1,0.0257334019557386
"106","flywheel",1,0.0257334019557386
"107","frents",1,0.0257334019557386
"108","gobble",1,0.0257334019557386
"109","gocarshare",1,0.0257334019557386
"110","grubwithus",1,0.0257334019557386
"111","housetrip",1,0.0257334019557386
"112","kitchensurfing",1,0.0257334019557386
"113","kiva",1,0.0257334019557386
"114","makespace",1,0.0257334019557386
"115","moveloot",1,0.0257334019557386
"116","onefinestay",1,0.0257334019557386
"117","pager",1,0.0257334019557386
"118","popexpert",1,0.0257334019557386
"119","redbeacon",1,0.0257334019557386
"120","rentstuff",1,0.0257334019557386
"121","scoot",1,0.0257334019557386
"122","shapeways",1,0.0257334019557386
"123","shiftgig",1,0.0257334019557386
"124","shuddle",1,0.0257334019557386
"125","tilt",1,0.0257334019557386
"126","tujia",1,0.0257334019557386
"127","turningart",1,0.0257334019557386
"128","udacity",1,0.0257334019557386
"129","vandebron",1,0.0257334019557386
"130","wallapop",1,0.0257334019557386
"131","whipcar",1,0.0257334019557386
"132","zookal",1,0.0257334019557386
