"","Company","Frequency","Percentage"
"1","via",98,24.4389027431421
"2","angellist",93,23.1920199501247
"3","airbnb",49,12.2194513715711
"4","uber",17,4.23940149625935
"5","kiva",15,3.74064837905237
"6","kickstarter",12,2.9925187032419
"7","button",10,2.49376558603491
"8","gone",10,2.49376558603491
"9","greennote",9,2.24438902743142
"10","circle",8,1.99501246882793
"11","getaround",8,1.99501246882793
"12","prosper",8,1.99501246882793
"13","twice",8,1.99501246882793
"14","leap",7,1.74563591022444
"15","favor",5,1.24688279301746
"16","airtime",4,0.997506234413965
"17","indiegogo",4,0.997506234413965
"18","craigslist",3,0.748129675810474
"19","lyft",3,0.748129675810474
"20","zipcar",3,0.748129675810474
"21","zopa",3,0.748129675810474
"22","alfred",2,0.498753117206983
"23","blablacar",2,0.498753117206983
"24","fon",2,0.498753117206983
"25","getable",2,0.498753117206983
"26","skillshare",2,0.498753117206983
"27","storefront",2,0.498753117206983
"28","upstart",2,0.498753117206983
"29","cherry",1,0.249376558603491
"30","couchsurfing",1,0.249376558603491
"31","etsy",1,0.249376558603491
"32","instacart",1,0.249376558603491
"33","liquidspace",1,0.249376558603491
"34","makerbot",1,0.249376558603491
"35","mosaic",1,0.249376558603491
"36","quirky",1,0.249376558603491
"37","shapeways",1,0.249376558603491
"38","trustcloud",1,0.249376558603491
