"","Company","Frequency","Percentage"
"1","zipcar",454,61.8528610354223
"2","bixi",83,11.3079019073569
"3","via",48,6.53950953678474
"4","relayrides",40,5.44959128065395
"5","gone",19,2.58855585831063
"6","getaround",15,2.04359673024523
"7","etsy",12,1.63487738419619
"8","twice",10,1.36239782016349
"9","circle",9,1.22615803814714
"10","airbnb",6,0.817438692098093
"11","button",6,0.817438692098093
"12","favor",6,0.817438692098093
"13","gocarshare",3,0.408719346049046
"14","leap",3,0.408719346049046
"15","wework",3,0.408719346049046
"16","zopa",3,0.408719346049046
"17","craigslist",2,0.272479564032698
"18","kickstarter",2,0.272479564032698
"19","lendingclub",2,0.272479564032698
"20","storefront",2,0.272479564032698
"21","blender",1,0.136239782016349
"22","cherry",1,0.136239782016349
"23","mosaic",1,0.136239782016349
"24","quirky",1,0.136239782016349
"25","rover",1,0.136239782016349
"26","skillshare",1,0.136239782016349
