;WORDS;X2015;X2014;X2013;X2012;X2011;X2010;X2009;X2008;X2007;X2006;X2005
564;bicycles;NA;87;126;79;80;105;NA;45;NA;NA;NA
618;international;NA;NA;185;88;100;53;65;NA;24;NA;NA
198;peertopeer;156;163;NA;105;90;NA;NA;NA;NA;NA;NA
398;food;96;117;125;100;NA;NA;NA;57;NA;19;NA
692;cycling;NA;NA;98;108;112;69;43;55;26;NA;NA
240;digital;137;95;105;85;NA;NA;NA;37;31;NA;17
652;boston;NA;NA;118;108;189;NA;53;NA;NA;25;13
239;apps;137;137;117;110;NA;NA;NA;NA;NA;NA;NA
611;enterprise;NA;NA;266;119;116;NA;NA;NA;NA;NA;NA
45;platforms;356;144;NA;NA;NA;NA;NA;NA;NA;NA;NA
663;marketing;NA;NA;115;105;NA;68;69;44;35;46;13
674;facebook;NA;NA;107;220;87;68;NA;NA;NA;NA;NA
144;law;187;149;NA;80;NA;NA;NA;40;NA;NA;16
634;canada;NA;NA;132;75;95;89;NA;40;24;NA;14
646;smart;NA;NA;124;138;104;102;NA;NA;NA;NA;NA
758;carbon;NA;NA;NA;NA;95;79;105;91;64;26;NA
577;bixi;NA;82;119;NA;172;83;NA;NA;NA;NA;NA
559;chicago;NA;88;129;NA;128;NA;NA;40;47;20;NA
560;prices;NA;88;NA;NA;132;NA;NA;107;25;73;24
727;rates;NA;NA;NA;80;92;82;55;47;35;32;19
267;room;128;177;131;NA;NA;NA;NA;NA;NA;NA;NA
462;quality;86;78;97;80;NA;57;NA;NA;NA;21;9
226;hotel;144;154;128;NA;NA;NA;NA;NA;NA;NA;NA
619;mobility;NA;NA;163;159;NA;101;NA;NA;NA;NA;NA
320;startup;113;135;98;74;NA;NA;NA;NA;NA;NA;NA
575;works;NA;83;99;81;NA;53;NA;60;34;NA;10
763;emissions;NA;NA;NA;NA;88;82;87;78;45;38;NA
340;startups;108;117;109;82;NA;NA;NA;NA;NA;NA;NA
96;competition;238;112;NA;NA;NA;63;NA;NA;NA;NA;NA
232;benefit;141;77;NA;NA;88;NA;59;NA;25;23;NA
97;regulations;238;171;NA;NA;NA;NA;NA;NA;NA;NA;NA
587;phone;NA;81;96;79;NA;64;NA;NA;35;31;15
433;rides;90;197;109;NA;NA;NA;NA;NA;NA;NA;NA
682;improve;NA;NA;102;NA;88;84;58;39;NA;22;NA
422;countries;92;92;99;81;NA;NA;NA;NA;24;NA;NA
394;rentals;97;101;112;NA;76;NA;NA;NA;NA;NA;NA
723;washington;NA;NA;NA;84;114;NA;NA;65;42;40;41
676;charging;NA;NA;106;81;96;86;NA;NA;NA;NA;NA
204;property;152;85;118;NA;NA;NA;NA;NA;NA;NA;13
392;exchange;97;80;NA;74;109;NA;NA;NA;NA;NA;NA
182;federal;163;NA;NA;NA;93;55;44;NA;NA;NA;NA
225;commission;144;NA;NA;75;70;60;NA;NA;NA;NA;NA
215;opportunities;147;NA;113;86;NA;NA;NA;NA;NA;NA;NA
117;regulatory;217;126;NA;NA;NA;NA;NA;NA;NA;NA;NA
160;job;177;90;NA;NA;NA;NA;74;NA;NA;NA;NA
729;ford;NA;NA;NA;79;123;86;NA;NA;NA;53;NA
600;friends;NA;78;NA;123;106;NA;NA;NA;31;NA;NA
236;association;139;83;NA;NA;NA;NA;44;43;28;NA;NA
519;customer;NA;111;108;107;NA;NA;NA;NA;NA;NA;9
518;collaborativeconsumption;NA;111;NA;121;101;NA;NA;NA;NA;NA;NA
513;popular;NA;120;97;NA;86;NA;NA;NA;26;NA;NA
237;ubers;139;188;NA;NA;NA;NA;NA;NA;NA;NA;NA
920;flexcar;NA;NA;NA;NA;NA;NA;NA;NA;169;73;83
261;homes;130;156;NA;NA;NA;NA;NA;NA;25;NA;13
130;rules;200;123;NA;NA;NA;NA;NA;NA;NA;NA;NA
355;innovative;104;NA;108;NA;NA;110;NA;NA;NA;NA;NA
660;toronto;NA;NA;116;NA;NA;104;49;NA;NA;53;NA
147;legal;184;118;NA;NA;NA;NA;NA;NA;NA;NA;NA
621;budget;NA;NA;158;NA;70;NA;43;NA;NA;19;7
630;design;NA;NA;141;NA;99;NA;NA;47;NA;NA;9
349;family;106;NA;NA;76;71;NA;42;NA;NA;NA;NA
598;brands;NA;78;NA;153;NA;63;NA;NA;NA;NA;NA
218;trust;146;143;NA;NA;NA;NA;NA;NA;NA;NA;NA
435;technologies;90;NA;102;82;NA;NA;NA;NA;NA;NA;12
718;corporate;NA;NA;NA;90;83;59;46;NA;NA;NA;7
668;bikesharing;NA;NA;111;NA;82;91;NA;NA;NA;NA;NA
792;climate;NA;NA;NA;NA;NA;78;56;79;39;28;NA
406;security;95;NA;NA;84;NA;56;NA;NA;NA;35;8
796;owning;NA;NA;NA;NA;NA;71;92;50;NA;32;15
657;infrastructure;NA;NA;116;NA;NA;82;52;NA;NA;NA;9
508;riders;NA;128;130;NA;NA;NA;NA;NA;NA;NA;NA
804;reducing;NA;NA;NA;NA;NA;64;82;39;47;25;NA
364;passengers;102;154;NA;NA;NA;NA;NA;NA;NA;NA;NA
726;leader;NA;NA;NA;80;NA;55;69;51;NA;NA;NA
227;laws;144;110;NA;NA;NA;NA;NA;NA;NA;NA;NA
734;team;NA;NA;NA;78;77;54;NA;NA;30;NA;13
711;cyclists;NA;NA;NA;103;79;68;NA;NA;NA;NA;NA
456;leaders;87;NA;NA;NA;73;89;NA;NA;NA;NA;NA
378;rooms;100;146;NA;NA;NA;NA;NA;NA;NA;NA;NA
735;chairman;NA;NA;NA;77;87;NA;41;39;NA;NA;NA
178;regulation;165;78;NA;NA;NA;NA;NA;NA;NA;NA;NA
196;individuals;157;86;NA;NA;NA;NA;NA;NA;NA;NA;NA
556;cash;NA;89;NA;NA;70;NA;42;NA;NA;31;10
704;relayrides;NA;NA;NA;132;109;NA;NA;NA;NA;NA;NA
789;hybrid;NA;NA;NA;NA;NA;90;64;42;32;NA;9
161;governments;176;NA;NA;NA;NA;NA;42;NA;NA;NA;12
624;airport;NA;NA;155;NA;75;NA;NA;NA;NA;NA;NA
612;avis;NA;NA;227;NA;NA;NA;NA;NA;NA;NA;NA
695;helmets;NA;NA;97;130;NA;NA;NA;NA;NA;NA;NA
675;vancouver;NA;NA;107;89;NA;NA;NA;NA;30;NA;NA
361;hosts;102;122;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;ondemand;217;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
411;taxis;94;122;NA;NA;NA;NA;NA;NA;NA;NA;NA
540;apartment;NA;94;119;NA;NA;NA;NA;NA;NA;NA;NA
715;european;NA;NA;NA;96;NA;74;NA;NA;29;NA;10
403;hotels;95;106;NA;NA;NA;NA;NA;NA;NA;NA;NA
