"","Company","Frequency","Percentage"
"1","via",133,19.7622585438336
"2","airbnb",115,17.0876671619614
"3","uber",42,6.2407132243685
"4","zipcar",27,4.01188707280832
"5","circle",21,3.12035661218425
"6","fiverr",19,2.82317979197623
"7","lyft",17,2.5260029717682
"8","button",16,2.37741456166419
"9","gone",15,2.22882615156018
"10","rover",12,1.78306092124814
"11","twice",11,1.63447251114413
"12","livemocha",10,1.48588410104012
"13","sidecar",10,1.48588410104012
"14","storefront",10,1.48588410104012
"15","wello",10,1.48588410104012
"16","couchsurfing",8,1.1887072808321
"17","gazelle",8,1.1887072808321
"18","leap",8,1.1887072808321
"19","mosaic",8,1.1887072808321
"20","poshmark",8,1.1887072808321
"21","prosper",8,1.1887072808321
"22","sidetour",8,1.1887072808321
"23","taskrabbit",8,1.1887072808321
"24","zozi",8,1.1887072808321
"25","pager",7,1.04011887072808
"26","relayrides",7,1.04011887072808
"27","zaarly",6,0.891530460624071
"28","alfred",5,0.742942050520059
"29","artsy",5,0.742942050520059
"30","drivy",5,0.742942050520059
"31","bookrenter",4,0.594353640416048
"32","coursera",4,0.594353640416048
"33","crowdflower",4,0.594353640416048
"34","etsy",4,0.594353640416048
"35","favor",4,0.594353640416048
"36","gigwalk",4,0.594353640416048
"37","myngle",4,0.594353640416048
"38","scoot",4,0.594353640416048
"39","skillshare",4,0.594353640416048
"40","wallapop",4,0.594353640416048
"41","cherry",3,0.445765230312036
"42","craigslist",3,0.445765230312036
"43","kickstarter",3,0.445765230312036
"44","sharedesk",3,0.445765230312036
"45","upstart",3,0.445765230312036
"46","vayable",3,0.445765230312036
"47","vint",3,0.445765230312036
"48","artsicle",2,0.297176820208024
"49","custommade",2,0.297176820208024
"50","floqq",2,0.297176820208024
"51","getaround",2,0.297176820208024
"52","homejoy",2,0.297176820208024
"53","instacart",2,0.297176820208024
"54","postmates",2,0.297176820208024
"55","tindie",2,0.297176820208024
"56","wework",2,0.297176820208024
"57","zookal",2,0.297176820208024
"58","airtime",1,0.148588410104012
"59","angellist",1,0.148588410104012
"60","bixi",1,0.148588410104012
"61","circleup",1,0.148588410104012
"62","codecademy",1,0.148588410104012
"63","crowdcube",1,0.148588410104012
"64","eatwith",1,0.148588410104012
"65","getable",1,0.148588410104012
"66","indiegogo",1,0.148588410104012
"67","kaggle",1,0.148588410104012
"68","kiva",1,0.148588410104012
"69","kozaza",1,0.148588410104012
"70","makerbot",1,0.148588410104012
"71","maven",1,0.148588410104012
"72","quirky",1,0.148588410104012
"73","udacity",1,0.148588410104012
"74","udemy",1,0.148588410104012
