"","Influencer","Frequency","Percentage"
"1","jeremiahowyang",145,48.3333333333333
"2","rachelbotsman",50,16.6666666666667
"3","arunsundararajan",29,9.66666666666667
"4","laurenanderson",19,6.33333333333333
"5","janelleorsi",12,4
"6","julietschor",11,3.66666666666667
"7","roorogers",9,3
"8","michelbauwens",7,2.33333333333333
"9","adamthierer",5,1.66666666666667
"10","jasonankeny",2,0.666666666666667
"11","sophiecurtis",2,0.666666666666667
"12","aligheitasy",1,0.333333333333333
"13","catherinerampell",1,0.333333333333333
"14","danahull",1,0.333333333333333
"15","davidswan",1,0.333333333333333
"16","laurapiscicelli",1,0.333333333333333
"17","mauriecohen",1,0.333333333333333
"18","michaelspence",1,0.333333333333333
"19","miltonfriedman",1,0.333333333333333
"20","sarahorowitz",1,0.333333333333333
