"","Word","Frequency","Percentage"
"1","c2a0",707,1.15935849922928
"2","car",674,1.10524417041094
"3","will",490,0.803515791545046
"4","zipcar",333,0.546062772621429
"5","said",322,0.528024663015316
"6","cars",321,0.526384834869306
"7","can",300,0.491948443803089
"8","new",280,0.459151880882884
"9","people",261,0.427995146108688
"10","sharing",240,0.393558755042472
"11","one",229,0.375520645436358
"12","year",228,0.373880817290348
"13","also",215,0.352563051392214
"14","use",193,0.316486832179988
"15","company",183,0.300088550719885
"16","members",183,0.300088550719885
"17","per",169,0.27713095667574
"18","vehicles",164,0.268931815945689
"19","scheme",162,0.265652159653668
"20","service",160,0.262372503361648
"21","parking",149,0.244334393755534
"22","share",145,0.237775081171493
"23","carsharing",135,0.22137679971139
"24","transport",134,0.21973697156538
"25","just",128,0.209898002689318
"26","now",125,0.204978518251287
"27","market",124,0.203338690105277
"28","companies",122,0.200059033813256
"29","business",120,0.196779377521236
"30","city",118,0.193499721229215
"31","first",118,0.193499721229215
"32","council",113,0.185300580499164
"33","get",113,0.185300580499164
"34","like",112,0.183660752353153
"35","years",110,0.180381096061133
"36","make",109,0.178741267915122
"37","says",109,0.178741267915122
"38","time",109,0.178741267915122
"39","work",106,0.173821783477092
"40","sales",105,0.172181955331081
"41","well",104,0.170542127185071
"42","way",103,0.168902299039061
"43","gas",102,0.16726247089305
"44","cent",101,0.16562264274704
"45","two",101,0.16562264274704
"46","public",99,0.16234298645502
"47","last",98,0.160703158309009
"48","think",97,0.159063330162999
"49","many",91,0.149224361286937
"50","help",90,0.147584533140927
"51","drive",88,0.144304876848906
"52","transportation",88,0.144304876848906
"53","need",87,0.142665048702896
"54","zipcars",85,0.139385392410875
"55","cost",84,0.137745564264865
"56","congestion",80,0.131186251680824
"57","services",80,0.131186251680824
"58","fleet",79,0.129546423534814
"59","schemes",79,0.129546423534814
"60","going",78,0.127906595388803
"61","million",78,0.127906595388803
"62","road",78,0.127906595388803
"63","traffic",78,0.127906595388803
"64","drivers",77,0.126266767242793
"65","travel",77,0.126266767242793
"66","costs",76,0.124626939096783
"67","local",75,0.122987110950772
"68","flexcar",73,0.119707454658752
"69","industry",73,0.119707454658752
"70","prices",73,0.119707454658752
"71","using",73,0.119707454658752
"72","day",72,0.118067626512741
"73","san",72,0.118067626512741
"74","want",72,0.118067626512741
"75","dont",71,0.116427798366731
"76","even",71,0.116427798366731
"77","less",71,0.116427798366731
"78","access",70,0.114787970220721
"79","free",70,0.114787970220721
"80","including",70,0.114787970220721
"81","north",70,0.114787970220721
"82","number",70,0.114787970220721
"83","three",70,0.114787970220721
"84","around",69,0.113148142074711
"85","information",69,0.113148142074711
"86","pay",69,0.113148142074711
"87","change",68,0.1115083139287
"88","next",68,0.1115083139287
"89","take",68,0.1115083139287
"90","technology",68,0.1115083139287
"91","vehicle",68,0.1115083139287
"92","money",67,0.10986848578269
"93","part",67,0.10986848578269
"94","university",67,0.10986848578269
"95","insurance",66,0.10822865763668
"96","reduce",65,0.106588829490669
"97","staff",64,0.104949001344659
"98","carshare",63,0.103309173198649
"99","green",63,0.103309173198649
"100","made",62,0.101669345052638
"101","may",62,0.101669345052638
"102","much",62,0.101669345052638
"103","see",62,0.101669345052638
"104","week",62,0.101669345052638
"105","available",60,0.0983896887606179
"106","good",60,0.0983896887606179
"107","cities",59,0.0967498606146076
"108","energy",59,0.0967498606146076
"109","month",59,0.0967498606146076
"110","online",59,0.0967498606146076
"111","system",59,0.0967498606146076
"112","fuel",58,0.0951100324685973
"113","used",58,0.0951100324685973
"114","cut",57,0.093470204322587
"115","plans",57,0.093470204322587
"116","say",57,0.093470204322587
"117","hour",56,0.0918303761765767
"118","residents",56,0.0918303761765767
"119","save",56,0.0918303761765767
