"","Influencer","Frequency","Percentage"
"1","rachelbotsman",15,34.8837209302326
"2","jeremiahowyang",8,18.6046511627907
"3","arunsundararajan",7,16.2790697674419
"4","janelleorsi",5,11.6279069767442
"5","danahull",3,6.97674418604651
"6","laurenanderson",2,4.65116279069767
"7","haraldheinrichs",1,2.32558139534884
"8","michelbauwens",1,2.32558139534884
"9","sarahorowitz",1,2.32558139534884
