"","Influencer","Frequency","Percentage"
"1","rachelbotsman",163,55.6313993174061
"2","roorogers",61,20.8191126279863
"3","arunsundararajan",25,8.53242320819113
"4","jeremiahowyang",10,3.41296928327645
"5","laurenanderson",9,3.07167235494881
"6","janelleorsi",8,2.73037542662116
"7","sarahorowitz",6,2.04778156996587
"8","michelbauwens",3,1.02389078498294
"9","derekthompson",2,0.68259385665529
"10","julietschor",2,0.68259385665529
"11","deirdremacken",1,0.341296928327645
"12","francesbula",1,0.341296928327645
"13","francoiacomella",1,0.341296928327645
"14","nicolasmendoza",1,0.341296928327645
