"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"job",0.34625,0.2975,0.33,0.395,0.34625,0.43,0.363,0.545,0.393333333333333,0.3125,0.381785714285714,0.3375,0.37625,0.3825,0.376944444444444,0.52,0.39125,0.52
"cities",0,0.215,0.0716666666666667,0.485,0.175,0.34,0.208,0.3,0.223333333333333,0.3,0.234285714285714,0.5325,0.2715625,0.5875,0.306666666666667,0.915,0.3675,0.755
"state",0.30625,0.2425,0.285,0.84,0.42375,0.4825,0.4355,0.3675,0.424166666666667,0.31,0.407857142857143,0.36,0.401875,0.2875,0.389166666666667,0.4475,0.395,0.425
"impact",0.31375,0.285,0.304166666666667,0.365,0.319375,0.38,0.3315,0.485,0.357083333333333,0.37,0.358928571428571,0.475,0.3734375,0.455,0.3825,0.4175,0.386,0.4525
"markets",0.32375,0.3125,0.32,0.35,0.3275,0,0.262,0.4525,0.29375,0.4275,0.312857142857143,0.5175,0.3384375,0.495,0.355833333333333,0.495,0.36975,0.61
"user",0.37375,0.365,0.370833333333333,0.3575,0.3675,0.48,0.39,0.49,0.406666666666667,0.25,0.384285714285714,0.5325,0.4028125,0.355,0.3975,0.3375,0.3915,0.3425
"travel",0.29875,0,0.199166666666667,0.525,0.280625,0,0.2245,0.3175,0.24,0.315,0.250714285714286,0.5875,0.2928125,0.5675,0.323333333333333,0.6225,0.35325,0.7175
"finance",0.35625,0.275,0.329166666666667,0.3775,0.34125,0.41,0.355,0.405,0.363333333333333,0.335,0.359285714285714,0.375,0.36125,0.475,0.373888888888889,0.37,0.3735,0.515
"climate",0.12,0.44,0.226666666666667,0.745,0.35625,0.6925,0.4235,0.4125,0.421666666666667,0.3775,0.415357142857143,0.3575,0.408125,0.27,0.392777777777778,0.29,0.3825,0.3875
"consumers",0,0,0,0.2775,0.069375,0,0.0555,0.425,0.117083333333333,0.395,0.156785714285714,0.635,0.2165625,0.7475,0.275555555555556,0.9225,0.34025,0.7975
"startups",0,0.35,0.116666666666667,0,0.0875,0,0.07,0,0.0583333333333333,0.3825,0.104642857142857,0.565,0.1621875,0.9,0.244166666666667,0.955,0.31525,0.975
"learning",0.26625,0.3525,0.295,0.295,0.295,1.625,0.561,0.7025,0.584583333333333,0.2925,0.542857142857143,0.305,0.513125,0,0.456111111111111,0,0.4105,0
"environment",0.275,0.2575,0.269166666666667,0.435,0.310625,0.6375,0.376,0.48,0.393333333333333,0.3425,0.386071428571429,0.44,0.3928125,0.2525,0.377222222222222,0.3025,0.36975,0.395
"members",0.33,0.2075,0.289166666666667,0.4775,0.33625,0.3625,0.3415,0.34,0.34125,0.29,0.333928571428571,0.47,0.3509375,0.41,0.3575,0.34,0.35575,0.3925
"cost",0.28875,0.2225,0.266666666666667,0.2975,0.274375,0,0.2195,0.4175,0.2525,0.385,0.271428571428571,0.6375,0.3171875,0.3275,0.318333333333333,0.4325,0.32975,0.5675
"provide",0.26375,0,0.175833333333333,0.3575,0.22125,0.3425,0.2455,0.4025,0.271666666666667,0.2875,0.273928571428571,0.4325,0.29375,0.44,0.31,0.4875,0.32775,0.5625
"collaboration",0,0.27,0.09,0,0.0675,0.5775,0.1695,0.865,0.285416666666667,0.415,0.303928571428571,0.465,0.3240625,0.2875,0.32,0.525,0.3405,0.3525
"sustainability",0.1425,0.375,0.22,0.7025,0.340625,0.6,0.3925,0.45,0.402083333333333,0.3925,0.400714285714286,0,0.350625,0.285,0.343333333333333,0.315,0.3405,0.3
"trends",0.135,0.23,0.166666666666667,0.325,0.20625,0.3475,0.2345,0.3775,0.258333333333333,0.3075,0.265357142857143,0.4025,0.2825,0.6275,0.320833333333333,0.38,0.32675,0.435
"startup",0.255,0.2925,0.2675,0,0.200625,0,0.1605,0,0.13375,0.4325,0.176428571428571,0.62,0.231875,0.57,0.269444444444444,0.55,0.2975,0.63
"sales",0.2275,0.3625,0.2725,0.3675,0.29625,0.3175,0.3005,0.3825,0.314166666666667,0.2525,0.305357142857143,0.4125,0.31875,0.285,0.315,0.4675,0.33025,0.3
"security",0.3575,0.2925,0.335833333333333,0.2875,0.32375,0.5625,0.3715,0.2825,0.356666666666667,0.2975,0.348214285714286,0,0.3046875,0.3,0.304166666666667,0.2975,0.3035,0.5625
"cars",0,0,0,0,0,0,0,0.2875,0.0479166666666667,0.4475,0.105,0.7175,0.1815625,0.73,0.2425,0.7225,0.2905,0.6375
"peertopeer",0,0,0,0,0,0,0,0.32,0.0533333333333333,0.3025,0.0889285714285714,0.7725,0.174375,0.6925,0.231944444444444,0.6875,0.2775,0.7525
"private",0.2975,0.3125,0.3025,0.335,0.310625,0.3275,0.314,0.3025,0.312083333333333,0,0.2675,0.4375,0.28875,0.3625,0.296944444444444,0.3725,0.3045,0.4125
"enterprise",0.2025,0.3575,0.254166666666667,0.3525,0.27875,0.505,0.324,0.3725,0.332083333333333,0.3325,0.332142857142857,0.4775,0.3503125,0.2575,0.34,0.3975,0.34575,0
